region,datetime,weather,temperature,rainfall,wind_direction,wind_level,wind_speed,wind_angle,pressure,humidity,air_quality,visibility,cloud,dew_point,shortwave_radiation,所在市_norm,所在区_norm
福建/莆田/城厢,2026-01-02 09:00:00,多云,11.0,0.0,未知,2,8,0,1000,62,50,10,70,,39.0,莆田,城厢
福建/宁德/蕉城,2026-01-02 09:00:00,晴,8.0,0.0,未知,2,8,0,1000,68,50,10,1,,76.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 09:00:00,多云,9.8,0.0,未知,2,8,0,1000,56,50,10,33,,32.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 10:00:00,晴,9.2,0.0,未知,2,8,0,1000,58,50,10,2,,256.0,宁德,蕉城
福建/莆田/城厢,2026-01-02 10:00:00,多云,12.1,0.0,未知,2,8,0,1000,57,50,10,100,,190.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 10:00:00,多云,7.3,0.0,未知,2,8,0,1000,64,50,10,39,,220.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 10:00:00,晴,10.1,0.0,未知,2,8,0,1000,54,50,10,21,,156.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 11:00:00,晴,10.5,0.0,未知,2,8,0,1000,51,50,10,0,,436.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 11:00:00,晴,9.0,0.0,未知,2,8,0,1000,56,50,10,7,,425.0,泉州,鲤城
福建/莆田/城厢,2026-01-02 11:00:00,多云,13.0,0.0,未知,2,8,0,1000,52,50,10,82,,293.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 11:00:00,晴,11.2,0.0,未知,2,8,0,1000,51,50,10,20,,325.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 12:00:00,晴,11.8,0.0,未知,2,8,0,1000,45,50,10,0,,575.0,宁德,蕉城
福建/莆田/城厢,2026-01-02 12:00:00,多云,13.6,0.0,未知,2,8,0,1000,49,50,10,91,,384.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 12:00:00,晴,10.3,0.0,未知,2,8,0,1000,51,50,10,7,,586.0,泉州,鲤城
福建/福州/鼓楼,2026-01-02 12:00:00,晴,12.3,0.0,未知,2,8,0,1000,45,50,10,27,,402.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 13:00:00,多云,13.9,0.0,未知,2,8,0,1000,48,50,10,100,,338.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 13:00:00,晴,13.1,0.0,未知,2,8,0,1000,39,50,10,23,,523.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 13:00:00,晴,12.8,0.0,未知,2,8,0,1000,40,50,10,0,,651.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 13:00:00,晴,11.3,0.0,未知,2,8,0,1000,46,50,10,2,,686.0,泉州,鲤城
福建/莆田/城厢,2026-01-02 14:00:00,多云,15.2,0.0,未知,2,8,0,1000,41,50,10,82,,516.0,莆田,城厢
福建/泉州/鲤城,2026-01-02 14:00:00,晴,11.9,0.0,未知,2,8,0,1000,43,50,10,0,,701.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 14:00:00,晴,13.7,0.0,未知,2,8,0,1000,37,50,10,0,,658.0,宁德,蕉城
福建/福州/鼓楼,2026-01-02 14:00:00,晴,13.8,0.0,未知,2,8,0,1000,36,50,10,12,,592.0,福州,鼓楼
福建/莆田/城厢,2026-01-02 15:00:00,多云,13.9,0.0,未知,2,8,0,1000,45,50,10,98,,508.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 15:00:00,多云,13.7,0.0,未知,2,8,0,1000,37,50,10,38,,590.0,福州,鼓楼
福建/宁德/蕉城,2026-01-02 15:00:00,晴,13.3,0.0,未知,2,8,0,1000,41,50,10,1,,596.0,宁德,蕉城
福建/泉州/鲤城,2026-01-02 15:00:00,晴,12.0,0.0,未知,2,8,0,1000,44,50,10,1,,646.0,泉州,鲤城
福建/莆田/城厢,2026-01-02 16:00:00,多云,13.4,0.0,未知,2,8,0,1000,43,50,10,100,,332.0,莆田,城厢
福建/福州/鼓楼,2026-01-02 16:00:00,晴,13.8,0.0,未知,2,8,0,1000,36,50,10,14,,361.0,福州,鼓楼
福建/泉州/鲤城,2026-01-02 16:00:00,晴,11.9,0.0,未知,2,8,0,1000,43,50,10,2,,523.0,泉州,鲤城
福建/宁德/蕉城,2026-01-02 16:00:00,晴,13.7,0.0,未知,2,8,0,1000,39,50,10,0,,470.0,宁德,蕉城
